City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
3868210,Vilcún,CL,-38.65,-72.2333,45.34,55,12,6.06
3408368,Acaraú,BR,-2.8856,-40.12,87.26,54,35,19.51
2630299,Hofn,IS,64.2539,-15.2082,55.24,79,95,2.68
1494941,Pirovskoye,RU,57.6267,92.2658,59.5,74,96,7.7
5870133,Nome,US,64.5011,-165.4064,50.07,87,90,12.66
2637853,Sidmouth,GB,50.6909,-3.2397,66.79,88,40,14.97
1282898,Pokhara,NP,28.2333,83.9833,74.97,84,98,3.22
2022572,Khatanga,RU,71.9667,102.5,74.37,57,70,11.12
2120047,Ust'-Omchug,RU,61.15,149.6333,46.62,87,100,5.64
1735106,George Town,MY,5.4112,100.3354,83.89,81,20,0.0
6089245,Norman Wells,CA,65.282,-126.8329,57.47,87,99,1.92
2126123,Chokurdakh,RU,70.6333,147.9167,35.22,86,100,10.56
3430863,Mar del Plata,AR,-38.0023,-57.5575,47.93,59,90,10.0
1488048,Ulagan,RU,50.6321,87.9563,54.41,98,100,2.28
2658112,Visp,CH,46.2937,7.8815,69.78,85,100,2.51
2084442,Vanimo,PG,-2.6741,141.3028,78.1,90,74,6.42
2033413,Yichun,CN,47.7,128.9,69.03,92,4,2.42
3155152,Gravdal,NO,68.1214,13.5031,64.29,77,0,6.91
3467371,Capâo Bonito,BR,-24.0058,-48.3494,81.41,28,8,12.03
2126199,Cherskiy,RU,68.75,161.3,35.37,87,89,16.67
3369157,Cape Town,ZA,-33.9258,18.4232,55.53,88,90,3.0
3366880,Hermanus,ZA,-34.4187,19.2345,57.79,90,44,22.86
5122534,Jamestown,US,42.097,-79.2353,80.91,44,20,14.97
1714733,Dingle,PH,10.9995,122.6711,79.14,81,95,11.68
3454005,Piaçabuçu,BR,-10.4056,-36.4344,77.76,79,31,10.04
4031574,Provideniya,RU,64.3833,-173.3,46.72,99,100,10.94
1140025,Herat Province,AF,34.5,62.0,82.99,11,0,37.8
3928924,Satipo,PE,-11.2522,-74.6386,87.64,43,9,2.73
3414079,Olafsvik,IS,64.8945,-23.7142,53.04,73,72,17.45
1224061,Wattegama,LK,6.7989,81.4808,80.47,68,97,6.71
1513491,Yangi Marg`ilon,UZ,40.4272,71.7189,86.72,32,40,4.61
155056,Malampaka,TZ,-3.1333,33.5333,73.0,38,34,5.01
2738785,Guarda,PT,40.5373,-7.2658,75.24,25,0,12.37
3894406,Coihueco,CL,-36.6167,-71.8333,48.94,66,0,14.97
1651810,Airai,TL,-8.9266,125.4092,56.59,79,29,3.0
5382232,Petaluma,US,38.2324,-122.6367,65.57,76,1,0.0
6111696,Port-Cartier,CA,50.0334,-66.8654,66.92,89,100,5.03
2294915,Takoradze,GH,4.8845,-1.7554,78.93,71,100,11.68
1505453,Ishim,RU,56.1128,69.4902,61.84,59,100,9.33
174448,Abu Kamal,SY,34.4506,40.9171,99.68,17,0,11.88
3976161,Adolfo López Mateos,MX,28.4667,-107.3,77.94,34,3,8.28
5983720,Iqaluit,CA,63.7506,-68.5145,55.13,54,75,10.36
1492252,Sheregesh,RU,52.9209,87.9869,54.0,87,100,3.11
1635815,Maumere,ID,-8.6199,122.2111,75.78,77,26,2.71
5880054,Barrow,US,71.2906,-156.7887,42.82,96,90,8.05
3419842,Sisimiut,GL,66.9395,-53.6735,57.74,57,91,21.77
3460087,Jardim,BR,-21.4803,-56.1381,58.39,85,100,11.27
2729907,Longyearbyen,SJ,78.2186,15.6401,46.24,87,75,10.36
2070998,Geraldton,AU,-28.7667,114.6,59.41,67,90,8.05
5367788,Lompoc,US,34.6391,-120.4579,63.46,82,90,3.44
962367,Richards Bay,ZA,-28.783,32.0377,67.19,63,18,17.52
3489523,May Pen,JM,17.9645,-77.2451,87.01,44,96,12.39
2126710,Beringovskiy,RU,63.05,179.3167,48.16,97,100,10.13
3628473,San Cristobal,VE,7.7669,-72.225,84.38,63,96,5.23
5924351,Clyde River,CA,70.4692,-68.5914,55.63,67,75,6.91
2641434,Northam,GB,51.0333,-4.2167,64.85,85,68,14.83
567774,Chudovo,RU,59.1167,31.6833,74.32,56,64,2.1
3939168,Huarmey,PE,-10.0681,-78.1522,70.57,73,30,10.13
3354077,Opuwo,NA,-18.0607,13.84,67.69,23,0,7.92
2171099,Codrington,AU,-38.2667,141.9667,53.82,89,89,23.0
3451138,Rio Grande,BR,-32.035,-52.0986,49.95,43,27,20.94
2121385,Severo-Kuril'sk,RU,50.6789,156.125,56.68,97,100,8.93
964420,Port Elizabeth,ZA,-33.918,25.5701,63.1,34,11,10.74
3361934,Saldanha,ZA,-33.0117,17.9442,57.65,88,100,15.35
1688781,City of San Pedro,PH,14.35,121.0167,79.36,89,100,18.45
2128025,Shizunai-furukawachō,JP,42.3339,142.3669,68.07,95,28,4.76
3393536,Olinda,BR,-8.0089,-34.8553,78.53,69,20,13.8
2033135,Zhengjiatun,CN,43.5064,123.5064,74.75,81,89,5.39
3092472,Malbork,PL,54.0359,19.0266,75.88,64,89,4.85
5380437,Pacific Grove,US,36.6177,-121.9166,65.17,84,1,3.0
3883457,Lebu,CL,-37.6167,-73.65,49.17,65,1,23.2
496934,Serdobsk,RU,52.4586,44.2169,68.54,57,45,3.11
2644122,Llandrindod Wells,GB,52.2416,-3.3787,64.15,81,92,6.73
544084,Koslan,RU,63.4564,48.8989,45.37,92,100,9.53
3894426,Coyhaique,CL,-45.5752,-72.0662,46.33,53,0,0.0
6355222,Yulara,AU,-25.2406,130.9889,67.84,32,90,9.22
878281,Lindi,TZ,-10.0,39.7167,73.31,68,13,7.02
3663475,Maraã,BR,-1.8333,-65.3667,92.32,44,82,3.65
2264557,Ponta do Sol,PT,32.6667,-17.1,77.2,75,3,4.43
1819729,Hong Kong,HK,22.2855,114.1577,86.7,86,75,1.01
2542997,Marrakesh,MA,31.6315,-8.0083,98.67,28,0,4.61
1806840,Huilong,CN,31.8111,121.655,78.98,91,100,22.64
2328113,Otukpo,NG,7.1913,8.1329,77.61,74,90,4.76
3185672,Fier,AL,40.7239,19.5561,87.91,37,0,4.99
4171522,St. Pete Beach,US,27.7253,-82.7412,89.06,67,20,1.01
3935102,Mazamari,PE,-11.3258,-74.5308,87.8,43,11,2.44
2447513,Arlit,NE,18.7369,7.3853,80.13,58,92,25.99
5905393,Bonavista,CA,48.6499,-53.1147,71.6,95,94,13.6
2074865,Carnarvon,AU,-24.8667,113.6333,57.27,59,40,6.91
5563839,Fortuna,US,40.5982,-124.1573,54.41,96,75,0.0
1272780,Dhenkānāl,IN,20.6667,85.6,80.38,83,100,11.54
157198,Kiomboi,TZ,-4.2667,34.3667,68.18,37,46,4.9
6167817,Torbay,CA,47.6666,-52.7314,67.44,93,75,17.27
2392087,Porto-Novo,BJ,6.4965,2.6036,78.62,65,99,11.05
3374462,Mindelo,CV,16.8901,-24.9804,81.95,57,20,18.41
1605538,Thap Khlo,TH,16.16,100.5966,78.08,86,92,0.98
2177671,Armidale,AU,-30.5167,151.65,39.34,74,1,5.91
3421319,Nuuk,GL,64.1835,-51.7216,59.61,72,75,20.71
1083239,Ambatofinandrahana,MG,-20.55,46.8,52.9,60,54,3.31
2129513,Shimokizukuri,JP,40.8061,140.3861,73.11,89,65,7.27
1082243,Ambilobe,MG,-13.2,49.05,70.05,80,57,2.04
3141667,Roald,NO,62.5833,6.1333,67.55,77,0,11.5
3137469,Sørland,NO,67.667,12.6934,55.26,89,7,12.64
6551664,Stockelsdorf,DE,53.8905,10.6258,75.36,54,20,8.05
4033543,Teahupoo,PF,-17.8333,-149.2667,71.56,76,31,11.03
2122605,Okhotsk,RU,59.3833,143.3,57.13,90,4,5.26
1267390,Kavaratti,IN,10.5669,72.642,81.81,79,100,18.97
3386213,Touros,BR,-5.1989,-35.4608,76.1,63,10,17.05
161974,Bereket,TM,39.2446,55.5154,96.71,16,0,11.3
362973,Abnūb,EG,27.2696,31.1511,95.02,17,1,10.31
3531368,Celestún,MX,20.8667,-90.4,86.4,64,18,8.39
6170031,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,87,90,9.22
3423146,Ilulissat,GL,69.2167,-51.1,57.22,51,75,6.91
3625710,Upata,VE,8.0086,-62.3989,86.2,59,65,6.11
3664980,Boa Vista,BR,2.8197,-60.6733,89.58,55,75,4.61
3832791,Villa Carlos Paz,AR,-31.4241,-64.4978,50.63,25,0,4.0
3899695,Ancud,CL,-41.8697,-73.8203,47.73,64,57,3.33
2206874,Waipawa,NZ,-41.4122,175.5153,39.51,89,6,4.16
3448903,São João da Barra,BR,-21.6403,-41.0511,84.29,62,0,12.53
2023298,Kalanguy,RU,51.0167,116.5167,56.19,89,14,2.57
4031637,Lavrentiya,RU,65.5833,-171.0,43.59,99,100,6.29
3466980,Caravelas,BR,-17.7125,-39.2481,79.56,56,15,10.2
1784055,Zhuanghe,CN,39.7008,122.9911,75.87,87,88,3.8
3418910,Upernavik,GL,72.7868,-56.1549,49.78,77,100,7.87
4726521,San Patricio,US,28.017,-97.5169,88.66,44,14,4.99
4013679,Coahuayana Viejo,MX,18.7333,-103.6833,87.28,61,91,2.42
5882953,Aklavik,CA,68.2191,-135.0107,55.4,94,90,4.61
304183,Bayir,TR,37.2687,28.2167,93.72,20,0,9.08
2750630,Monster,NL,52.0258,4.175,63.32,93,20,4.0
1337607,Kudahuvadhoo,MV,2.6708,72.8944,82.22,75,100,10.31
2017155,Saskylakh,RU,71.9167,114.0833,55.06,73,25,14.34
1640902,Kawalu,ID,-7.3817,108.2082,69.21,92,44,0.45
3175096,Laas,IT,46.6166,10.7002,65.59,79,69,4.76
6113406,Prince Rupert,CA,54.3161,-130.3201,58.5,82,89,2.15
3372760,Praia da Vitória,PT,38.7333,-27.0667,73.65,83,75,10.25
3445026,Vila Velha,BR,-20.3297,-40.2925,80.55,65,20,13.8
3461425,Ilhabela,BR,-23.7781,-45.3581,85.6,38,0,3.51
1835848,Seoul,KR,37.5683,126.9778,80.76,71,41,1.74
2128975,Nemuro,JP,43.3236,145.575,62.4,100,100,6.55
4914710,Vermilion,US,40.1667,-87.7506,84.22,63,1,10.0
5546220,Saint George,US,37.1041,-113.5841,84.63,60,1,3.0
3424901,Aasiaat,GL,68.7098,-52.8699,43.43,85,100,5.46
3385077,Conde,BR,-7.2597,-34.9075,81.86,69,40,14.97
2012530,Zhigansk,RU,66.7697,123.3711,51.64,77,54,11.45
2146219,Hervey Bay,AU,-25.2986,152.8535,59.04,72,20,4.61
286621,Salalah,OM,17.0151,54.0924,80.69,89,75,5.75
4021858,Guerrero Negro,MX,27.9769,-114.0611,76.82,58,0,11.36
6165406,Thompson,CA,55.7435,-97.8558,60.96,88,75,4.61
3679716,Labranzagrande,CO,5.5622,-72.575,72.82,89,83,5.14
1623197,Tual,ID,-5.6667,132.75,80.94,81,98,17.76
5861897,Fairbanks,US,64.8378,-147.7164,56.84,82,75,0.0
1855540,Naze,JP,28.3667,129.4833,76.05,85,100,10.71
1789647,Xichang,CN,27.8964,102.2634,67.37,96,100,3.8
2109528,Buala,SB,-8.145,159.5921,79.05,85,71,8.05
2122493,Omsukchan,RU,62.5333,155.8,43.81,77,100,7.83
1806687,Yong’an,CN,39.6957,113.6871,67.41,82,97,6.31
4946620,Palmer,US,42.1584,-72.3287,85.82,51,20,1.01
3421765,Nanortalik,GL,60.1432,-45.2371,46.2,78,96,1.41
2636790,Stornoway,GB,58.2093,-6.3865,55.36,94,75,8.05
4034551,Faanui,PF,-16.4833,-151.75,77.83,74,40,9.71
2288105,Grand-Lahou,CI,5.1367,-5.0242,78.24,76,100,10.56
1254709,Tezu,IN,27.9167,96.1667,79.25,79,100,3.51
2016910,Severobaykal'sk,RU,55.65,109.3167,59.85,60,64,1.5
5364271,Laguna,US,38.421,-121.4238,76.87,35,1,1.99
2094746,Kandrian,PG,-6.2167,149.55,76.41,91,71,3.18
3374083,Bathsheba,BB,13.2167,-59.5167,86.61,66,40,18.41
64013,Bosaso,SO,11.2842,49.1816,91.22,41,41,15.1
1254638,Tharād,IN,24.3961,71.6267,84.36,75,100,20.85
921889,Fomboni,KM,-12.28,43.7425,76.33,71,15,14.56
1054329,Vangaindrano,MG,-23.35,47.6,61.57,90,97,9.91
3440777,Rocha,UY,-34.4833,-54.3333,47.53,55,37,19.86
2031964,Darhan,MN,49.4867,105.9228,62.85,76,1,1.77
1648759,Bima,ID,-8.4667,118.7167,70.59,92,42,4.36
370510,Marabba,SD,12.35,32.1833,82.18,62,100,9.42
5780557,Riverton,US,40.5219,-111.9391,83.3,47,1,7.0
286245,Sur,OM,22.5667,59.5289,96.76,44,100,14.34
3372707,Ribeira Grande,PT,38.5167,-28.7,81.0,65,40,11.5
1640660,Kediri,ID,-7.8167,112.0167,71.69,88,16,8.86
516073,Okhansk,RU,57.7186,55.3877,55.47,72,48,4.25
5847486,Kailua,US,21.4022,-157.7394,78.1,73,40,9.22
1490085,Tarko-Sale,RU,64.9225,77.785,47.37,80,19,4.97
3839307,Rawson,AR,-43.3002,-65.1023,45.5,60,54,26.17
3932145,Pisco,PE,-13.7,-76.2167,66.25,77,2,9.22
1852357,Shimoda,JP,34.6667,138.95,75.11,84,100,7.02
3374351,Pombas,CV,17.1503,-25.0201,80.38,78,17,14.65
2522091,Alcúdia,ES,39.8532,3.1214,87.39,56,2,9.95
1259395,Porbandar,IN,21.6422,69.6093,82.13,84,100,23.4
3840092,Puerto Madryn,AR,-42.7692,-65.0385,46.24,55,49,25.79
4231997,Avera,US,33.194,-82.5271,87.57,50,40,3.89
3610813,El Pino,HN,15.7,-86.9333,87.67,70,40,8.05
1015776,Bredasdorp,ZA,-34.5322,20.0403,61.92,51,30,20.71
737054,Zile,TR,40.3031,35.8864,76.32,50,47,8.16
50814,Wajid,SO,3.8093,43.2471,77.7,57,100,17.74
2629833,Husavik,IS,66.0449,-17.3389,49.91,99,100,12.71
3430708,Mercedes,AR,-34.6515,-59.4307,51.28,47,2,19.17
2191562,Dunedin,NZ,-45.8742,170.5036,50.81,52,44,3.0
3352263,Warmbad,NA,-28.45,18.7333,65.61,27,0,9.86
1496511,Novy Urengoy,RU,66.0833,76.6333,49.03,69,37,5.35
2125906,Dukat,RU,62.55,155.55,42.4,80,100,6.33
2012532,Zhigalovo,RU,54.8097,105.1578,61.9,68,4,2.39
1803331,Linxia Chengguanzhen,CN,35.6003,103.2064,55.69,83,62,4.21
487372,Storozhevaya,RU,43.8789,41.4514,59.25,99,100,4.59
468991,Yarega,RU,63.4354,53.5765,44.74,91,95,10.92
584401,Abramovka,RU,51.1886,41.0202,68.61,72,54,3.22
523051,Nebolchi,RU,59.1239,33.3454,73.72,53,29,2.86
2881128,Langenburg,DE,49.2544,9.8458,74.79,57,0,1.14
584051,Agapovka,RU,53.2973,59.1348,63.61,51,39,7.83
630752,Ylöjärvi,FI,61.5563,23.5961,82.78,29,0,9.22
1166819,Rojhan,PK,28.6868,69.9534,93.99,49,100,13.47
3450083,Santa Maria,BR,-29.6842,-53.8069,51.1,43,20,10.36
154654,Masumbwe,TZ,-3.6333,32.1833,72.3,35,7,3.62
3430443,Necochea,AR,-38.5473,-58.7368,46.04,82,91,27.4
1528998,Yumen,CN,40.2833,97.2,78.71,22,39,7.74
2121197,Sinegor'ye,RU,62.0788,150.477,46.35,75,94,4.43
1272140,Dwārka,IN,22.2394,68.9678,82.56,83,100,26.87
64814,Bandarbeyla,SO,9.4942,50.8122,79.9,70,98,28.23
